link,brand,size,product_name,new_price,old_price
https://www.grailed.com/listings/63565064-alpinestars-x-streetwear-x-vintage-alpinestars-center-logo-cap?g_aidx=Listing_by_date_added_production&g_aqid=db160d650161fc21bfa9ab16dc333b87,ALPINESTARS × STREETWEAR × VINTAGE,OS,Alpinestars Center Logo Cap,8,30.0
https://www.grailed.com/listings/62709515-alpinestars-x-racing-infinity-red-bull-racing-big-logo-t-shirt-black-medium?g_aidx=Listing_by_date_added_production&g_aqid=db160d650161fc21bfa9ab16dc333b87,ALPINESTARS × RACING,M,Infinity Red Bull Racing Big Logo T-shirt Black Medium,12,14.0
https://www.grailed.com/listings/60651312-alpinestars-alpinestars-rider-long-sleeve-hight-quality?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS,S,Alpinestars Rider Long Sleeve Hight Quality,13,15.0
https://www.grailed.com/listings/60621616-alpinestars-alpinestars-long-sleeve?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS,L,AlpineStars Long Sleeve,14,20.0
https://www.grailed.com/listings/64386384-alpinestars-x-streetwear-x-vintage-vintage-y2k-flexfit-alpinestars-cap-90s-hat?g_aidx=Listing_by_date_added_production&g_aqid=8fea283cc0baa3dcde3464e948a87777,ALPINESTARS × STREETWEAR × VINTAGE,OS,Vintage Y2K Flexfit Alpinestars Cap 90s Hat,14,16.0
https://www.grailed.com/listings/62329241-alpinestars-alpine-stars-tee?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS,L,Alpine Stars Tee,15,25.0
https://www.grailed.com/listings/62029662-alpinestars-x-hype-x-streetwear-alpinestars-plaid-short-sleeve-button-up-shirt?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS × HYPE × STREETWEAR,XXL,Alpinestars Plaid Short Sleeve Button Up Shirt,15,28.0
https://www.grailed.com/listings/62684759-alpinestars-alpinestars-outrider-water-resistant-shorts?g_aidx=Listing_by_date_added_production&g_aqid=db160d650161fc21bfa9ab16dc333b87,ALPINESTARS,30,Alpinestars Outrider Water Resistant Shorts,15,45.0
https://www.grailed.com/listings/60714026-alpinestars-vtg-y2k-white-alpinestars-2xl-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS,XL,Vtg y2k white alpinestars 2xl t shirt,19,40.0
https://www.grailed.com/listings/62329877-alpinestars-alpine-stars-big-logo-tee?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS,L,Alpine Stars Big Logo Tee,20,30.0
