link,brand,size,product_name,new_price,old_price
https://www.grailed.com/listings/67599528-number-n-ine-number-n-ine-aw04-tribal-hearts-longsleeve-tee?g_aidx=Listing_by_date_added_production&g_aqid=085072367ecfd7eb06950240e7768a03,number (n)ine,s,number (n)ine aw04 tribal hearts longsleeve tee,600,
https://www.grailed.com/listings/67993288-number-n-ine-number-n-ine-denim-logo-hoodie?g_aidx=Listing_by_date_added_production&g_aqid=085072367ecfd7eb06950240e7768a03,number (n)ine,s,number (n)ine denim logo hoodie,150,
https://www.grailed.com/listings/67994883-number-n-ine-fw06-number-n-ine-v-tee?g_aidx=Listing_by_date_added_production&g_aqid=085072367ecfd7eb06950240e7768a03,number (n)ine,xs,"fw06 number (n)ine ""v"" tee",139,
https://www.grailed.com/listings/67969222-number-n-ine-number-n-ine-grey-long-sleeve-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=10b84273889717aceab31bd719f93bfc,number (n)ine,s,number (n)ine grey long sleeve t-shirt,75,
https://www.grailed.com/listings/67969803-number-n-ine-number-nine-fender-logo-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=10b84273889717aceab31bd719f93bfc,number (n)ine,s,number nine fender logo t-shirt,120,
https://www.grailed.com/listings/67969756-number-n-ine-number-nine-fender-logo-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=10b84273889717aceab31bd719f93bfc,number (n)ine,s,number nine fender logo t-shirt,95,
https://www.grailed.com/listings/67941951-number-n-ine-number-nine-the-redisun-knight-hoodie?g_aidx=Listing_by_date_added_production&g_aqid=bd1e14f1843055d38947b4213cd60a60,number (n)ine,s,number nine “the redisun” knight hoodie,300,
https://www.grailed.com/listings/67940319-number-n-ine-number-nine-feather-yarn-knit-size-1?g_aidx=Listing_by_date_added_production&g_aqid=bd1e14f1843055d38947b4213cd60a60,number (n)ine,s,number nine feather yarn knit size 1,195,
https://www.grailed.com/listings/67862674-number-n-ine-number-n-ine-x-takahiro-miyashita-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=a3efd195597ff3dd1f5043f3f48f2bfd,number (n)ine,xs,number (n)ine x takahiro miyashita t-shirt.,450,
https://www.grailed.com/listings/67886264-number-n-ine-number-nine-mohair-knit-sweater-olive-size-1?g_aidx=Listing_by_date_added_production&g_aqid=fb5a8c30fc6a4da6ea178b5989b8861e,number (n)ine,s,number nine mohair knit sweater olive size 1,250,
https://www.grailed.com/listings/67877738-number-n-ine-number-n-ine-ss04-blank-generation-shirt?g_aidx=Listing_by_date_added_production&g_aqid=d00b724106102af72dd7e76324d890fc,number (n)ine,s,number (n)ine ss04 blank generation shirt,185,
https://www.grailed.com/listings/67869086-number-n-ine-number-n-ine-x-takahiro-miyashita?g_aidx=Listing_by_date_added_production&g_aqid=d00b724106102af72dd7e76324d890fc,number (n)ine,xs,number (n)ine x takahiro miyashita,450,
https://www.grailed.com/listings/67868594-number-n-ine-number-n-ine-x-takahiro-miyashita-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=d00b724106102af72dd7e76324d890fc,number (n)ine,s,number (n)ine x takahiro miyashita t shirt!,450,
