link,brand,size,product_name,new_price,old_price
https://www.grailed.com/listings/67854930-number-n-ine-x-takahiromiyashita-the-soloist-number-n-ine-gotham-city-sticker-black-2002?g_aidx=Listing_by_date_added_production&g_aqid=4cb1d1e3f071d514202604cef4de8bd8,NUMBER (N)INE × TAKAHIROMIYASHITA THE SOLOIST.,OS,Number (N)ine Gotham City Sticker Black 2002,10,
https://www.grailed.com/listings/67362641-number-n-ine-x-takahiromiyashita-the-soloist-number-n-ine-gotham-city-sticker-silver-2002?g_aidx=Listing_by_date_added_production&g_aqid=a3a3b3b6e8fd861eeb643317cc7a084a,NUMBER (N)INE × TAKAHIROMIYASHITA THE SOLOIST.,OS,Number (N)ine Gotham City Sticker Silver 2002,15,
https://www.grailed.com/listings/67370515-number-n-ine-x-studious-number-n-ine-x-studious-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=a3a3b3b6e8fd861eeb643317cc7a084a,NUMBER (N)INE × STUDIOUS,M,Number (N)ine X Studious T-Shirt,25,
https://www.grailed.com/listings/67774176-marlboro-x-number-n-ine-numberninexmarlboro-rethinking-conventions-tee?g_aidx=Listing_by_date_added_production&g_aqid=bb76420d3a52cfe8a1444d980d4067ba,MARLBORO × NUMBER (N)INE,M,NUMBERNINExMARLBORO Rethinking conventions tee,32,
https://www.grailed.com/listings/67819262-marlboro-x-number-n-ine-x-vintage-number-nine-x-marlboro-step-out-of-you-box?g_aidx=Listing_by_date_added_production&g_aqid=481300e316f6f5d55db16f4bfcd243b9,MARLBORO × NUMBER (N)INE × VINTAGE,M,Number Nine X Marlboro Step Out Of You Box,35,
https://www.grailed.com/listings/67484114-archival-clothing-x-hysteric-glamour-x-number-n-ine-vintage-rolling-stones-band-tee?g_aidx=Listing_by_date_added_production&g_aqid=09ac960342d9dce7bac74a821aa65941,ARCHIVAL CLOTHING × HYSTERIC GLAMOUR × NUMBER (N)INE,XL,Vintage Rolling Stones band tee,37,66.0
https://www.grailed.com/listings/67553931-hysteric-glamour-x-number-n-ine-x-streetwear-vintage-rolling-stones-band-tee?g_aidx=Listing_by_date_added_production&g_aqid=ac068fe92a8b1b90f58d3a09e1e936a1,HYSTERIC GLAMOUR × NUMBER (N)INE × STREETWEAR,XL,Vintage Rolling Stones band tee,37,47.0
https://www.grailed.com/listings/67576437-japanese-brand-x-number-n-ine-x-streetwear-number-n-ine-denim-white-tee?g_aidx=Listing_by_date_added_production&g_aqid=915690c9e23e6e53a2d19a166bd50019,JAPANESE BRAND × NUMBER (N)INE × STREETWEAR,M,Number (N)ine denim White Tee,40,
https://www.grailed.com/listings/67496334-japanese-brand-x-number-n-ine-x-takahiromiyashita-the-soloist-marlboro-x-number-n-ine-moon-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=20457b7e011106340c75451d5eb84be4,JAPANESE BRAND × NUMBER (N)INE × TAKAHIROMIYASHITA THE SOLOIST.,M,Marlboro x Number (N)ine Moon T-Shirt,42,162.0
https://www.grailed.com/listings/67605367-japanese-brand-x-number-n-ine-x-takahiromiyashita-the-soloist-number-n-ine-monochrome-stripe-shirt?g_aidx=Listing_by_date_added_production&g_aqid=936eb591105e38c602a96a29ad0d5d43,JAPANESE BRAND × NUMBER (N)INE × TAKAHIROMIYASHITA THE SOLOIST.,L,Number (N)ine Monochrome Stripe Shirt,42,162.0
https://www.grailed.com/listings/67592364-designer-x-grail-x-number-n-ine-number-n-ine-nine-denim-pocket-tee-takahiro-miyashita?g_aidx=Listing_by_date_added_production&g_aqid=936eb591105e38c602a96a29ad0d5d43,DESIGNER × GRAIL × NUMBER (N)INE,M,Number (N)ine Nine Denim Pocket Tee Takahiro Miyashita,42,
https://www.grailed.com/listings/67718840-number-n-ine-number-nine-slim-fit-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=6ddbff0c05713136c32a4192dec7b50f,NUMBER (N)INE,S,number nine slim fit t-shirt,45,
https://www.grailed.com/listings/67801673-japanese-brand-x-jun-takahashi-x-number-n-ine-streetwear-number-nine-x-hope-japanes-streetwear?g_aidx=Listing_by_date_added_production&g_aqid=05ad0f1a149e3070b180d6f389b6c251,JAPANESE BRAND × JUN TAKAHASHI × NUMBER (N)INE,S,Streetwear Number Nine x Hope Japanes Streetwear,45,
https://www.grailed.com/listings/67778453-number-n-ine-x-skull-jeans-x-streetwear-skull-baggy-vintage-denim-jeans?g_aidx=Listing_by_date_added_production&g_aqid=89343ce8a237cd031cebd31fd0717237,NUMBER (N)INE × SKULL JEANS × STREETWEAR,32,Skull baggy vintage denim jeans,45,
https://www.grailed.com/listings/67799764-archival-clothing-x-japanese-brand-x-number-n-ine-number-n-ine-tote-bag?g_aidx=Listing_by_date_added_production&g_aqid=05ad0f1a149e3070b180d6f389b6c251,ARCHIVAL CLOTHING × JAPANESE BRAND × NUMBER (N)INE,OS,🇯🇵NUMBER (N)INE Tote Bag,45,
https://www.grailed.com/listings/67733716-number-n-ine-send-offers-number-n-ine-long-sleeve-shirt?g_aidx=Listing_by_date_added_production&g_aqid=acbc714c68f5d634367fb620185e702b,NUMBER (N)INE,S,SEND OFFERS‼️ Number (N)ine Long sleeve Shirt,48,60.0
https://www.grailed.com/listings/67827444-number-n-ine-number-nine-pocket-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=481300e316f6f5d55db16f4bfcd243b9,NUMBER (N)INE,L,Number Nine Pocket T-Shirt,49,
https://www.grailed.com/listings/67827663-number-n-ine-number-nine-side-logo-sweatshirt?g_aidx=Listing_by_date_added_production&g_aqid=481300e316f6f5d55db16f4bfcd243b9,NUMBER (N)INE,M,Number Nine Side Logo Sweatshirt,49,
https://www.grailed.com/listings/67731249-number-n-ine-send-offers-number-n-ine-striped-pocket-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=acbc714c68f5d634367fb620185e702b,NUMBER (N)INE,S,SEND OFFERS‼️ Number (N)ine Striped Pocket T-Shirt,49,55.0
https://www.grailed.com/listings/67548022-marc-ecko-x-number-n-ine-x-vintage-vintage-y2k-bootcut-jeans?g_aidx=Listing_by_date_added_production&g_aqid=ac068fe92a8b1b90f58d3a09e1e936a1,MARC ECKO × NUMBER (N)INE × VINTAGE,36,Vintage Y2K bootcut jeans,49,69.0
https://www.grailed.com/listings/67731070-nano-universe-x-number-n-ine-nano-universe-x-number-nine-denim-stripe?g_aidx=Listing_by_date_added_production&g_aqid=acbc714c68f5d634367fb620185e702b,NANO UNIVERSE × NUMBER (N)INE,XL,Nano universe x number nine denim stripe,50,
https://www.grailed.com/listings/67610578-marlboro-x-number-n-ine-number-n-ine-x-marlboro-tee?g_aidx=Listing_by_date_added_production&g_aqid=936eb591105e38c602a96a29ad0d5d43,MARLBORO × NUMBER (N)INE,L,Number (N)ine x Marlboro tee,50,
https://www.grailed.com/listings/67499632-japanese-brand-x-number-n-ine-x-takahiromiyashita-the-soloist-number-n-ine-bullet-rare-shirt?g_aidx=Listing_by_date_added_production&g_aqid=20457b7e011106340c75451d5eb84be4,JAPANESE BRAND × NUMBER (N)INE × TAKAHIROMIYASHITA THE SOLOIST.,L,Number (N)ine Bullet RARE Shirt,51,112.0
https://www.grailed.com/listings/67886933-japanese-brand-x-number-n-ine-x-takahiromiyashita-the-soloist-number-nine-striped-pocket-tee?g_aidx=Listing_by_date_added_production&g_aqid=fe2f979154d3cd33a6ce690342a0f20d,JAPANESE BRAND × NUMBER (N)INE × TAKAHIROMIYASHITA THE SOLOIST.,S,Number Nine Striped Pocket Tee,53,
https://www.grailed.com/listings/67850010-japanese-brand-x-number-n-ine-x-takahiromiyashita-the-soloist-number-n-ine-mohair-diamond-knit-sweater?g_aidx=Listing_by_date_added_production&g_aqid=876d6070e90f1ede91bff38651cddbeb,JAPANESE BRAND × NUMBER (N)INE × TAKAHIROMIYASHITA THE SOLOIST.,M,Number (N)ine Mohair Diamond Knit Sweater,54,67.0
https://www.grailed.com/listings/67851287-marlboro-x-number-n-ine-x-tee-number-nine-x-marlboro-tee?g_aidx=Listing_by_date_added_production&g_aqid=876d6070e90f1ede91bff38651cddbeb,MARLBORO × NUMBER (N)INE × TEE,M,Number nine x marlboro tee,55,
https://www.grailed.com/listings/67758945-number-n-ine-studio-voice-2002-featuring-raf-simons-hedi-slimane?g_aidx=Listing_by_date_added_production&g_aqid=bb76420d3a52cfe8a1444d980d4067ba,NUMBER (N)INE,OS,Studio Voice 2002 Featuring raf simons/Hedi Slimane/,55,
https://www.grailed.com/listings/67567994-archival-clothing-x-marc-ecko-x-number-n-ine-vintage-y2k-bootcut-jeans?g_aidx=Listing_by_date_added_production&g_aqid=915690c9e23e6e53a2d19a166bd50019,ARCHIVAL CLOTHING × MARC ECKO × NUMBER (N)INE,36,Vintage Y2K bootcut jeans,55,69.0
https://www.grailed.com/listings/67489791-japanese-brand-x-luxury-x-number-n-ine-number-n-ine-fender-logo?g_aidx=Listing_by_date_added_production&g_aqid=09ac960342d9dce7bac74a821aa65941,JAPANESE BRAND × LUXURY × NUMBER (N)INE,S,Number (N)ine fender logo,56,63.0
https://www.grailed.com/listings/67798051-number-n-ine-x-takahiromiyashita-the-soloist-vintage-n-n-3rd-anniversary?g_aidx=Listing_by_date_added_production&g_aqid=05ad0f1a149e3070b180d6f389b6c251,NUMBER (N)INE × TAKAHIROMIYASHITA THE SOLOIST.,M,Vintage N(N) 3rd Anniversary,56,
https://www.grailed.com/listings/67755419-archival-clothing-x-japanese-brand-x-number-n-ine-number-nine-fender-logo-tee?g_aidx=Listing_by_date_added_production&g_aqid=bb76420d3a52cfe8a1444d980d4067ba,ARCHIVAL CLOTHING × JAPANESE BRAND × NUMBER (N)INE,L,number nine Fender Logo Tee,56,70.0
https://www.grailed.com/listings/67552844-archival-clothing-x-marc-ecko-x-number-n-ine-marc-ecko-y2k-bootcut-jeans?g_aidx=Listing_by_date_added_production&g_aqid=ac068fe92a8b1b90f58d3a09e1e936a1,ARCHIVAL CLOTHING × MARC ECKO × NUMBER (N)INE,32,Marc ecko Y2K bootcut jeans,57,80.0
https://www.grailed.com/listings/67438979-number-n-ine-number-nine-tshirt?g_aidx=Listing_by_date_added_production&g_aqid=26221160d3e83ae36bd6cce1f66f4be5,NUMBER (N)INE,S,number nine tshirt,58,65.0
https://www.grailed.com/listings/67469663-number-n-ine-x-takahiromiyashita-the-soloist-number-nine-marlboro-step-up-of-your-box-big-logo-tee-shirt?g_aidx=Listing_by_date_added_production&g_aqid=48c47e78311392eb04384b40dcd05704,NUMBER (N)INE × TAKAHIROMIYASHITA THE SOLOIST.,M,Number Nine Marlboro Step Up of Your Box Big Logo Tee Shirt,59,
https://www.grailed.com/listings/67588137-number-n-ine-number-nine-box-logo-print-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=915690c9e23e6e53a2d19a166bd50019,NUMBER (N)INE,L,Number Nine Box Logo Print T-Shirt,59,
https://www.grailed.com/listings/67565959-japanese-brand-x-number-n-ine-number-nine-2006-v-neck-wide-collar-tee?g_aidx=Listing_by_date_added_production&g_aqid=915690c9e23e6e53a2d19a166bd50019,JAPANESE BRAND × NUMBER (N)INE,L,Number Nine 2006 V Neck Wide Collar Tee,59,
https://www.grailed.com/listings/67827515-number-n-ine-number-nine-back-logo-sweatshirt?g_aidx=Listing_by_date_added_production&g_aqid=481300e316f6f5d55db16f4bfcd243b9,NUMBER (N)INE,S,Number Nine Back Logo Sweatshirt,59,
https://www.grailed.com/listings/67827363-number-n-ine-number-nine-about-a-boy-print-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=481300e316f6f5d55db16f4bfcd243b9,NUMBER (N)INE,L,Number Nine About A Boy Print T-Shirt,59,
https://www.grailed.com/listings/67503501-marlboro-x-number-n-ine-malboro-x-number-n-ine-tshirt-nice-design?g_aidx=Listing_by_date_added_production&g_aqid=20457b7e011106340c75451d5eb84be4,MARLBORO × NUMBER (N)INE,M,Malboro x Number (N)ine Tshirt Nice Design,62,113.0
https://www.grailed.com/listings/67731264-japanese-brand-x-marlboro-x-number-n-ine-number-nine-x-marlboro-t-shirt-black?g_aidx=Listing_by_date_added_production&g_aqid=acbc714c68f5d634367fb620185e702b,JAPANESE BRAND × MARLBORO × NUMBER (N)INE,M,Number nine x Marlboro t shirt black,62,80.0
https://www.grailed.com/listings/67615678-japanese-brand-x-marlboro-x-number-n-ine-marlboro-x-number-n-ine-rethinking-conventions-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=f2a29abf16b5448a7e471c957cbee3f7,JAPANESE BRAND × MARLBORO × NUMBER (N)INE,L,Marlboro x Number (N)ine | Rethinking Conventions T-Shirt,62,69.0
https://www.grailed.com/listings/67550640-number-n-ine-number-nine-back-logo-print-t-shirts?g_aidx=Listing_by_date_added_production&g_aqid=ac068fe92a8b1b90f58d3a09e1e936a1,NUMBER (N)INE,L,Number Nine Back Logo Print T-Shirts,63,
https://www.grailed.com/listings/67752702-japanese-brand-x-number-n-ine-rare-design-r?g_aidx=Listing_by_date_added_production&g_aqid=bb76420d3a52cfe8a1444d980d4067ba,JAPANESE BRAND × NUMBER (N)INE,M,Rare design R,63,
https://www.grailed.com/listings/67664728-number-n-ine-number-n-ine-long-sleeve?g_aidx=Listing_by_date_added_production&g_aqid=35fa9837ee06419427068bb0d5d5dc6d,NUMBER (N)INE,M,Number (N)ine long sleeve,64,
https://www.grailed.com/listings/67676943-number-n-ine-rare-design?g_aidx=Listing_by_date_added_production&g_aqid=35fa9837ee06419427068bb0d5d5dc6d,NUMBER (N)INE,M,Rare Design,64,
https://www.grailed.com/listings/67368399-marlboro-x-number-n-ine-number-n-ine-x-marlboro-t-shirts?g_aidx=Listing_by_date_added_production&g_aqid=a3a3b3b6e8fd861eeb643317cc7a084a,MARLBORO × NUMBER (N)INE,L,Number (N)ine x Marlboro T-Shirts,64,
https://www.grailed.com/listings/67514668-number-n-ine-number-nine-long-sleeve-shirt?g_aidx=Listing_by_date_added_production&g_aqid=20457b7e011106340c75451d5eb84be4,NUMBER (N)INE,M,Number Nine Long Sleeve Shirt,65,
https://www.grailed.com/listings/67439140-number-n-ine-number-nine-logo-tee?g_aidx=Listing_by_date_added_production&g_aqid=26221160d3e83ae36bd6cce1f66f4be5,NUMBER (N)INE,S,number nine logo tee,67,75.0
https://www.grailed.com/listings/67714476-number-n-ine-number-nine-marlboro-set-t-shirt-tee?g_aidx=Listing_by_date_added_production&g_aqid=6ddbff0c05713136c32a4192dec7b50f,NUMBER (N)INE,M,number nine Marlboro set T-SHIRT tee,68,
https://www.grailed.com/listings/67753485-japanese-brand-x-number-n-ine-japanese-brand-number-nine-denim-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=bb76420d3a52cfe8a1444d980d4067ba,JAPANESE BRAND × NUMBER (N)INE,M,JAPANESE BRAND NUMBER NINE DENIM T-SHIRT,70,
https://www.grailed.com/listings/67574019-archival-clothing-x-japanese-brand-x-number-n-ine-number-n-ine-hoodie-flannel-shirt?g_aidx=Listing_by_date_added_production&g_aqid=915690c9e23e6e53a2d19a166bd50019,ARCHIVAL CLOTHING × JAPANESE BRAND × NUMBER (N)INE,M,Number (N)ine Hoodie Flannel shirt,70,
https://www.grailed.com/listings/67525463-number-n-ine-number-nine-anti-world-print-tee?g_aidx=Listing_by_date_added_production&g_aqid=1e4e59aa238c903141996e6211ca187f,NUMBER (N)INE,M,Number Nine Anti World Print Tee,70,
https://www.grailed.com/listings/67731246-marlboro-x-number-n-ine-x-streetwear-rare-number-nine-x-marlboro-star-multi-logo-f?g_aidx=Listing_by_date_added_production&g_aqid=acbc714c68f5d634367fb620185e702b,MARLBORO × NUMBER (N)INE × STREETWEAR,M,Rare Number Nine x Marlboro Star Multi logo (F),70,
https://www.grailed.com/listings/67408683-number-n-ine-number-nine-fender-logo-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=b8718948e507b0eacce66c0cc742464b,NUMBER (N)INE,S,number nine Fender logo T-SHIRT,70,
https://www.grailed.com/listings/67550491-number-n-ine-number-nine-waffle-sweater?g_aidx=Listing_by_date_added_production&g_aqid=ac068fe92a8b1b90f58d3a09e1e936a1,NUMBER (N)INE,M,Number Nine Waffle Sweater,71,
https://www.grailed.com/listings/67731080-number-n-ine-send-offers-number-n-ine-3-4-spiral-logo-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=acbc714c68f5d634367fb620185e702b,NUMBER (N)INE,M,SEND OFFERS‼️ Number (N)ine 3/4 Spiral Logo T-Shirt,72,80.0
https://www.grailed.com/listings/67369756-japanese-brand-x-number-n-ine-number-n-ine?g_aidx=Listing_by_date_added_production&g_aqid=a3a3b3b6e8fd861eeb643317cc7a084a,JAPANESE BRAND × NUMBER (N)INE,M,Number ( N )INE,72,
https://www.grailed.com/listings/67573838-japanese-brand-x-number-n-ine-x-streetwear-number-n-ine-denim-spellout-box-v-neck-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=915690c9e23e6e53a2d19a166bd50019,JAPANESE BRAND × NUMBER (N)INE × STREETWEAR,S,Number (N)ine Denim SpellOut Box V-neck T-shirt,72,
https://www.grailed.com/listings/67731077-number-n-ine-vintage-faded-numbernine-of-school-visual-zipper-pocket?g_aidx=Listing_by_date_added_production&g_aqid=acbc714c68f5d634367fb620185e702b,NUMBER (N)INE,32,💥 Vintage faded numbernine of school visual zipper pocket,72,
https://www.grailed.com/listings/67858712-number-n-ine-number-niine-emblem-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=4cb1d1e3f071d514202604cef4de8bd8,NUMBER (N)INE,M,Number niine EMBLEM T-shirt,72,
https://www.grailed.com/listings/67512568-number-n-ine-number-nine-mickey-mouse-nn-short-sleeve-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=1e4e59aa238c903141996e6211ca187f,NUMBER (N)INE,L,Number Nine Mickey Mouse NN Short Sleeve T-Shirt,72,91.0
https://www.grailed.com/listings/67486640-archival-clothing-x-japanese-brand-x-number-n-ine-number-n-ine-mickey-eddie-vedder-black-tee-size-4-with-tags?g_aidx=Listing_by_date_added_production&g_aqid=09ac960342d9dce7bac74a821aa65941,ARCHIVAL CLOTHING × JAPANESE BRAND × NUMBER (N)INE,XL,Number (N)ine Mickey Eddie Vedder Black Tee size 4 with Tags,73,115.0
https://www.grailed.com/listings/67449158-number-n-ine-number-nine-milk-cookies-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=48c47e78311392eb04384b40dcd05704,NUMBER (N)INE,S,Number nine MILK&COOKIES T-SHIRT,75,
https://www.grailed.com/listings/67779539-number-n-ine-archive-number-nine-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=89343ce8a237cd031cebd31fd0717237,NUMBER (N)INE,M,Archive Number Nine t-shirt,75,
https://www.grailed.com/listings/67779248-number-n-ine-archive-number-nine-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=89343ce8a237cd031cebd31fd0717237,NUMBER (N)INE,S,Archive Number Nine t-shirt,75,
