link,brand,size,product_name,new_price,old_price
https://www.grailed.com/listings/67893123-prada-prada-grey-single-breasted-coat-in-printed-cotton?g_aidx=Listing_by_date_added_production&g_aqid=c937e497a3b9a41fedc84a83d7aa9aac,PRADA,XS,Prada Grey Single-Breasted Coat In Printed Cotton,6296,
https://www.grailed.com/listings/67893116-prada-prada-fire-red-cashmere-sweater?g_aidx=Listing_by_date_added_production&g_aqid=c937e497a3b9a41fedc84a83d7aa9aac,PRADA,S,Prada Fire Red Cashmere Sweater,1649,
https://www.grailed.com/listings/67893114-prada-prada-fire-red-cashmere-sweater?g_aidx=Listing_by_date_added_production&g_aqid=c937e497a3b9a41fedc84a83d7aa9aac,PRADA,XS,Prada Fire Red Cashmere Sweater,1649,
https://www.grailed.com/listings/67893110-prada-prada-pistachio-green-cashmere-sweater?g_aidx=Listing_by_date_added_production&g_aqid=c937e497a3b9a41fedc84a83d7aa9aac,PRADA,S,Prada Pistachio Green Cashmere Sweater,1649,
https://www.grailed.com/listings/67893107-prada-prada-pistachio-green-cashmere-sweater?g_aidx=Listing_by_date_added_production&g_aqid=c937e497a3b9a41fedc84a83d7aa9aac,PRADA,XS,Prada Pistachio Green Cashmere Sweater,1649,
https://www.grailed.com/listings/67892322-archival-clothing-x-designer-x-prada-prada-impossible-true-love-shirt?g_aidx=Listing_by_date_added_production&g_aqid=c937e497a3b9a41fedc84a83d7aa9aac,ARCHIVAL CLOTHING × DESIGNER × PRADA,S,Prada Impossible True Love shirt,2500,
https://www.grailed.com/listings/67891719-luxury-x-prada-prada-wool-dress-round-neck-size-40?g_aidx=Listing_by_date_added_production&g_aqid=c937e497a3b9a41fedc84a83d7aa9aac,LUXURY × PRADA,S,Prada Wool Dress Round Neck Size 40,400,
https://www.grailed.com/listings/67886676-prada-vintage-prada-rossa-red-tab-beige-sweatshirt-hoodie?g_aidx=Listing_by_date_added_production&g_aqid=a7e9678376906c9971b94a99c1a1a71f,PRADA,S,Vintage Prada Rossa Red Tab beige Sweatshirt Hoodie,180,
https://www.grailed.com/listings/67885454-prada-runway-prada-re-nylon-bomber?g_aidx=Listing_by_date_added_production&g_aqid=a7e9678376906c9971b94a99c1a1a71f,PRADA,S,🔥RUNWAY🔥Prada Re-Nylon Bomber,5500,
https://www.grailed.com/listings/67885175-miu-miu-x-prada-x-vintage-miu-miu-coat-jacket-lama-wool-trench-vintage?g_aidx=Listing_by_date_added_production&g_aqid=a7e9678376906c9971b94a99c1a1a71f,MIU MIU × PRADA × VINTAGE,S,Miu Miu Coat Jacket Lama Wool Trench Vintage,359,
https://www.grailed.com/listings/67882708-prada-prada-sport-ss00-goretex-cropped-jacket-s?g_aidx=Listing_by_date_added_production&g_aqid=a7e9678376906c9971b94a99c1a1a71f,PRADA,S,Prada Sport SS00 Goretex Cropped Jacket - S,345,
https://www.grailed.com/listings/67883103-prada-rare-vintage-prada-snake-shirt-for-ladies-made-in-italy?g_aidx=Listing_by_date_added_production&g_aqid=a7e9678376906c9971b94a99c1a1a71f,PRADA,S,Rare Vintage Prada Snake Shirt For Ladies Made In Italy,90,
https://www.grailed.com/listings/67877058-prada-last-drop-prada-vintage-shirt-contrasting-stitching?g_aidx=Listing_by_date_added_production&g_aqid=bc2d110c74b19d2d55eac2582ce903bd,PRADA,S,Last drop! Prada vintage shirt contrasting stitching,145,
https://www.grailed.com/listings/67876853-cashmere-wool-x-italian-designers-x-prada-prada-100-cashmere-minimalist-sweater?g_aidx=Listing_by_date_added_production&g_aqid=bc2d110c74b19d2d55eac2582ce903bd,CASHMERE & WOOL × ITALIAN DESIGNERS × PRADA,S,Prada 100% cashmere minimalist sweater,210,
https://www.grailed.com/listings/67876676-prada-best-price-prada-padded-silk-top-runway-aw98?g_aidx=Listing_by_date_added_production&g_aqid=bc2d110c74b19d2d55eac2582ce903bd,PRADA,S,Best price! Prada padded silk top runway AW98,390,
https://www.grailed.com/listings/67875379-archival-clothing-x-italian-designers-x-prada-prada-red-tab-fleece-rare-grail-archive?g_aidx=Listing_by_date_added_production&g_aqid=f58ff2ab85477230f23111fe9d411f57,ARCHIVAL CLOTHING × ITALIAN DESIGNERS × PRADA,S,Prada red tab fleece rare grail archive,170,
https://www.grailed.com/listings/67873109-goretex-x-prada-x-vintage-prada-jacket-gore-tex-shell-nylon-coat-red-tab-2000-s-coat?g_aidx=Listing_by_date_added_production&g_aqid=f58ff2ab85477230f23111fe9d411f57,GORETEX × PRADA × VINTAGE,S,PRADA Jacket Gore Tex Shell Nylon Coat Red Tab 2000's Coat,279,
https://www.grailed.com/listings/67872243-miu-miu-x-prada-aw-2006-runway-wool-coat?g_aidx=Listing_by_date_added_production&g_aqid=f58ff2ab85477230f23111fe9d411f57,MIU MIU × PRADA,S,AW 2006 Runway Wool Coat,415,
https://www.grailed.com/listings/67871604-goretex-x-prada-x-vintage-prada-jacket-gore-tex-shell-nylon-coat-red-tab-2000-s-coat?g_aidx=Listing_by_date_added_production&g_aqid=f58ff2ab85477230f23111fe9d411f57,GORETEX × PRADA × VINTAGE,S,PRADA Jacket Gore Tex Shell Nylon Coat Red Tab 2000's Coat,390,
https://www.grailed.com/listings/67871556-goretex-x-prada-x-vintage-prada-jacket-gore-tex-shell-nylon-coat-red-tab-2000-s-coat?g_aidx=Listing_by_date_added_production&g_aqid=f58ff2ab85477230f23111fe9d411f57,GORETEX × PRADA × VINTAGE,S,PRADA Jacket Gore Tex Shell Nylon Coat Red Tab 2000's Coat,390,
https://www.grailed.com/listings/67869184-prada-s-s-14-camo-nylon-jacket?g_aidx=Listing_by_date_added_production&g_aqid=9415c6619a99bec93ec1ebebef21605f,PRADA,S,S/S 14 Camo Nylon Jacket,450,
https://www.grailed.com/listings/67868371-prada-x-vintage-vintage-prada-curve-long-sleeve-shirt?g_aidx=Listing_by_date_added_production&g_aqid=9415c6619a99bec93ec1ebebef21605f,PRADA × VINTAGE,S,Vintage Prada Curve Long Sleeve Shirt,250,
https://www.grailed.com/listings/67765272-prada-prada-anorak-nylon-gabardine-jacket-black?g_aidx=Listing_by_date_added_production&g_aqid=a13775b2dad303ea66b94c6894722348,PRADA,S,PRADA ANORAK NYLON GABARDINE JACKET BLACK,2300,
https://www.grailed.com/listings/67848768-prada-prada-fall-1999-vest?g_aidx=Listing_by_date_added_production&g_aqid=42b740a411ac7ab076bdfa328e4e6b5c,PRADA,S,Prada fall 1999 vest,500,
