link,brand,size,product_name,new_price,old_price
https://www.grailed.com/listings/67695459-rick-owens-drkshdw-tote-bag?g_aidx=Listing_by_date_added_production&g_aqid=e1c0a94e2eb0058aaa5b8a49b65dd3ea,RICK OWENS,OS,DRKSHDW Tote Bag,49.0,
https://www.grailed.com/listings/67719773-rick-owens-rick-owens-tote?g_aidx=Listing_by_date_added_production&g_aqid=20c6721d7edaaffc0b2bd66406b113fa,RICK OWENS,OS,Rick Owens Tote,60.0,
https://www.grailed.com/listings/67871471-rick-owens-ribbed-tank-top?g_aidx=Listing_by_date_added_production&g_aqid=ff72756e329a2c322d86434d284b2f47,RICK OWENS,XS,Ribbed Tank Top,60.0,
https://www.grailed.com/listings/67842457-champion-x-rick-owens-organic-cotton-briefs-in-pearl-color-retail-155?g_aidx=Listing_by_date_added_production&g_aqid=2025d6cf17ef0c38d0117c6f60c21b86,CHAMPION × RICK OWENS,28,Organic Cotton Briefs in PEARL Color Retail $155,62.0,
https://www.grailed.com/listings/67888305-quiksilver-x-rick-owens-x-streetwear-y2k-quicksilver-shorts?g_aidx=Listing_by_date_added_production&g_aqid=91a4b4114cc6a5595bddc7c0319c8992,QUIKSILVER × RICK OWENS × STREETWEAR,32,Y2k Quicksilver Shorts,65.0,
https://www.grailed.com/listings/67678908-rick-owens-x-rick-owens-drkshdw-x-streetwear-rick-owens-velour-hangers?g_aidx=Listing_by_date_added_production&g_aqid=11c3cd248220d8fc06cbc0c531111d1f,RICK OWENS × RICK OWENS DRKSHDW × STREETWEAR,OS,Rick Owens Velour Hangers,72.0,110.0
https://www.grailed.com/listings/67869294-rick-owens-s-s-2012-grey-silk-sleeveless-top?g_aidx=Listing_by_date_added_production&g_aqid=ff72756e329a2c322d86434d284b2f47,RICK OWENS,S,S/S 2012 Grey Silk Sleeveless Top,80.0,
https://www.grailed.com/listings/67848380-avant-garde-x-rick-owens-x-vintage-archival-rick-owens-archive-stickers-magnet-set?g_aidx=Listing_by_date_added_production&g_aqid=2025d6cf17ef0c38d0117c6f60c21b86,AVANT GARDE × RICK OWENS × VINTAGE,OS,ARCHIVAl! Rick Owens Archive Stickers & Magnet Set,86.0,
https://www.grailed.com/listings/67725048-rick-owens-x-veja-rick-owens-veja-off-white-and-tan-hiking-sneaker?g_aidx=Listing_by_date_added_production&g_aqid=20c6721d7edaaffc0b2bd66406b113fa,RICK OWENS × VEJA,13,Rick Owens Veja Off-White and Tan Hiking Sneaker,92.0,
https://www.grailed.com/listings/67737425-adidas-x-rick-owens-rick-owens-adidas-tech-runner?g_aidx=Listing_by_date_added_production&g_aqid=c35e4fb4733abbc2e27bde5ac4ea168d,ADIDAS × RICK OWENS,4.5,Rick Owens Adidas Tech Runner,99.0,
